key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
11,Differentialpsychologische Effekte Von Schülerselbstkorrektur Und Häufigkeit Der Leistungsrückmeldung = Psychological Effects Of Pupils' Self-Evaluation And Frequency Of Performance Feedback,LISSMANN U;PAETZOLD B,ZEITSCHRIFT FÜR DIFFERENTIELLE UND DIAGNOSTISCHE PSYCHOLOGIE,,,,,1988,,,"Studied the effects of students' self-evaluation vs teacher evaluation and of the frequency of feedback on various personality characteristics. In addition, the intervening influence of students' cognitive and motivational characteristics was assessed. Human subjects: 279 male and female west german children (5th graders) (vocational track schools). 293 male and female west german children (5th graders) (mixed track schools). In a 2  2 experimental design, the type (self vs teacher) and frequency of feedback on the ss' performance in 2 subject areas were varied. Before and after the experimental intervention, the ss completed a series of tests assessing various school-related cognitive and motivational characteristics and such personality characteristics as self-worth and causal-attribution style. Interactions among various factors were analyzed, and intergroup differences were determined. Tests used: a wide range of german-language tests assessing intelligence; self-concept; causal attribution; and school-related attitudes, motivation, anxiety, and performance. (English abstract) (psycinfo database record (c) 2016 apa, all rights reserved)",,,SELF VS TEACHER EVALUATION & FEEDBACK FREQUENCY; PERSONALITY CHARACTERISTICS; 5TH GRADERS; WEST GERMANY; FEEDBACK; PERSONALITY TRAITS; SELF-EVALUATION; TEACHER ATTITUDES
12,An Exploration Of The Factor Structure And Development Of Potentially Useful Subscales Of Etiological Beliefs About Schizophrenia In A General Population Sample,GOULDING SM;BROUSSARD B;DEMIR B;COMPTON MT,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,,,,,2009,,,"Background given that accessing care, treatment engagement, and course and outcomes among people with schizophrenia may be influenced by beliefs about causes in the larger community, causal beliefs about schizophrenia have been studied in numerous communities around the world. In particular, the 30-item list of etiological attributions developed by angermeyer and colleagues has been used to describe causal beliefs in patients, family members, and lay community members within such communities. The current study, the first examination of the latent or factorial structure of these 30 causal beliefs, seeks to provide informative subscales that may enhance reliability and validity of groupings of causes for future analyses involving community members. Method data were gathered from six separate surveys involving three distinct groups of individuals from the same community within the southeastern united states: lay community members, relatives of individuals with schizophrenia-spectrum disorders, and police officers at the start of a 1-week mental health training program. Results exploratory factor analysis in the overall sample (n = 577) revealed four factors that were used to define four subscales, termed: personal/family/social stressors (14 items), inconsistent with modern conceptions of risk (8 items), external/environmental insults to the brain (6 items), and consistent with modern biological conceptions (2 items). Cronbach's internal consistency reliability coefficients for these subscales were 0.91, 0.83, 0.71, and 0.65, respectively. Conclusions these findings suggest that subscales could be derived to provide continuous measures for assessing causal beliefs in order to study how this concept relates to attitudes toward schizophrenia, the people affected by the disorder, and treatments that are recommended by mental health professionals. Replication within similar and dissimilar groups is warranted.",,,ATTRIBUTIONS; CAUSAL BELIEFS; FACTOR ANALYSIS; PSYCHOSIS; SCHIZOPHRENIA
13,Predicting Acute Anxiety And Depression Following Hip Fracture,BRUGGEMANN L;NIXON RDV;CAVENETT T,JOURNAL OF BEHAVIORAL MEDICINE,,,,,2007,,,"The role of injury-related beliefs and hopelessness on depression and anxiety in the acute phase following hip fracture was investigated in 103 hip fracture patients. Participants were assessed at two time points: as inpatients within one week of their surgery, and then 3-weeks later as outpatients. Abramson et al.'S (1989) theory of hopelessness-related depression was investigated as a possible explanatory model to account for depression following hip fracture. Results indicated that hopelessness mediated the relationship between beliefs regarding personal control and depression at the second assessment. Anxiety at follow-up was predicted by control beliefs whereas physical mobility, acute stress and pain made no significant contribution. This study is the first to provide tentative evidence that post-injury beliefs and hopelessness influence levels of depression and anxiety in hip fracture patients in the acute phase of their injury, and indicates that further study in this area is warranted.",,,ANXIETY; DEPRESSION; HOPELESSNESS; HIP FRACTURE; INJURY COGNITIONS
14,Processes Variables In The Determination Of The Generalized Anxiety And Its Generalization To Other Measurements Of Anxiety And Depression,GONZALEZ M;IBANEZ I;CUBAS R,INTERNATIONAL JOURNAL OF CLINICAL AND HEALTH PSYCHOLOGY,,,,,2006,,,"According to the explanatory model proposed by dugas, gagnon, ladouceur and freeston, for the generalized anxiety disorder (gad), this ex post facto study proposes to test the role of the processes variables called intolerance of uncertainty, the beliefs on the worry and the suppression of intrusive thoughts, play in the determination of the tag; as well as the participation of these variables in the determination of other anxiety and mood disorders. A sample of 503 adults was assessed in generalized anxiety, components of panic attack, obsessive thoughts, fear to the negative evaluation, and depression. The results indicated that those three processes, besides in the generalized anxiety, also are in other measured variables, but with valuable variations. These variations go from de absence of some of those three processes to its implications, but with different predictive weights. The central role attributed in the model to the intolerance of uncertainty is modified in the case of obsessive thought, where the main variable is the cognitive avoidance process. The results are discussed in relation with the generalization of the processes variables to other disorders, specially in those co-morbids with tag.",,,PROCESSES VARIABLES; GENERALIZED ANXIETY DISORDER; ANXIETY DISORDERS;; DEPRESSION; EX POST FACTO STUDY
15,Nucleus Accumbens Activation Is Linked To Salience In Social Decision Making,SCHMIDT SNL;FENSKE SC;KIRSCH P;MIER D,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,,,,,2019,,,"Aberrant salience may explain hasty decision making and psychotic symptoms in schizophrenia. In healthy individuals, final decisions in probabilistic reasoning tasks are related to nucleus accumbens (nacc) activation. However, research investigating the nacc in social decision making is missing. Our study aimed at investigating the role of the nacc for social decision making and its link to (aberrant) salience attribution. 47 healthy individuals completed a novel social jumping-to-conclusion (jtc) fmri-paradigm, showing morphed faces simultaneously expressing fear and happiness. Participants decided on the ‘current’ emotion after each picture, and on the ‘general’ emotion of series of faces. Nacc activation was stronger during final decisions than in previous trials without a decision, particularly in fear rather than happiness series. A jtc-bias was associated with higher nacc activation for last fearful, but not last happy faces. Apparently, mechanisms underlying probabilistic reasoning are also relevant for social decision making. The pattern of nacc activation suggests salience, not reward, drives the final decision. Based on these findings, we hypothesize that aberrant salience might also explain social-cognitive deficits in schizophrenia. (Psycinfo database record (c) 2019 apa, all rights reserved)",,,EMOTION RECOGNITION; DECISION MAKING; JUMPING-TO-CONCLUSION BIAS; ABERRANT SALIENCE; SCHIZOPHRENIA; NUCLEUS ACCUMBENS; ATTRIBUTION; DECISION MAKING; NUCLEUS ACCUMBENS; SOCIAL COGNITION; SCHIZOPHRENIA
16,Fearfulness Predicts Self-Blame And Shame In Shyness,HENDERSON L,PERSONALITY AND INDIVIDUAL DIFFERENCES,,,,,2002,,,"Researchers and clinicians are attempting to delineate individual differences in problematic shyness in order to describe and treat it more effectively. In an effort to find empirical support for buss's fearful vs. Publicly self-conscious shy categories [buss, a.h. (1980). Self-consciousness and social anxiety. San francisco: freeman], a self-blaming attribution style with accompanying shame-based emotion was predicted in a group of self-conscious shys, as compared with fearful shys and controls. Surprisingly, fearfulness and private, not public, self-consciousness predicted self-blame and shame in hypothetical interpersonal failure situations. Furthermore, trait-shame was predicted by the same combination. Results are discussed in terms of the interaction of negative emotion and inner focus on self-blame. (C) 2001 elsevier science ltd. All rights reserved.",,,SHYNESS; FEARFUL; SELF-CONSCIOUS; SELF-BLAME; ATTRIBUTION; SHAME
17,"Depression And The False Consensus Effect: A Note Concerning The Study By Tabachnik, Crocker, And Alloy",MCCAULEY C,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,,,,,1985,,,"Reexamines results of an experiment by n. Tabachnik et al (see record [rid]1984-12223-001[/rid]) and argues that, contrary to the original report, neither depressed nor nondepressed students were shown to exhibit consensus bias. A distinction is drawn between relative agreement of self- and other-ratings, identified as consensus bias, and absolute agreement of self- and other-ratings that may or may not index the same phenomenon. (5 ref) (psycinfo database record (c) 2016 apa, all rights reserved)",,,RELATIVE VS ABSOLUTE AGREEMENT OF SELF & OTHER RATINGS; CONSENSUS BIAS & DEPRESSION; CRITICISM OF STUDY BY N. TABACHNIK ET AL; ATTRIBUTION; DEPRESSION (EMOTION); SELF-PERCEPTION; SOCIAL PERCEPTION
18,Heart Rate And Blood Pressure Responses To A Competitive Role-Playing Game,RICARTE J;SALVADOR A;COSTA R;MORRES MJ;SUBIRATS M,AGGRESSIVE BEHAVIOR,,,,,2001,,,"Assessed the effect of a competitive game on heart rate (hr) and blood pressure (bp) in 66 university students. In addition, the influence of anxiety and attributions of the outcome was also explored. Only winners significantly showed a rise in hr during the competition followed by a decrease along the posttask phase in addition to more internal attributions. On the contrary, the average hr for losers during the competition was lower compared with their baseline values. No differences depending on the outcome were found in bp. The cardiovascular response as well as the subjective interpretation of the outcome suggest a more active strategy employed by winners vs a more passive strategy of losers. Future studies should specifically investigate the importance of coping strategies for psychophysiological adaptation to contests and for the outcome reached. This would permit an advance in the understanding of the role of individual differences in the processes of stress and in associated diseases. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,COMPETITION; PARTICIPATION; HEART RATE; BLOOD PRESSURE; ANXIETY; CAUSAL ATTRIBUTIONS; COLLEGE STUDENTS; ANXIETY; ATTRIBUTION; BLOOD PRESSURE; COMPETITION; HEART RATE
19,"Self-Concept, Attributional Style And Depression",HAUGEN R;LUND T,EDUCATIONAL PSYCHOLOGY,,,,,2002,,,"The purpose of the present study was to investigate how self-concept and attributional style are related to depression in a student group. On the basis of an inventory, 166 advanced teacher students (mean age 25. 3 yrs) were scored on general and academic self-esteem, attribution for positive and negative events, and depression. The two self-esteem variables were found to constitute important predictors of depression, while the contributions of the attributional variables were of minor importance. In addition, pessimistic attributions to both positive and negative events resulted in higher depression than pessimistic attributions to either kind of events, and to neither kind of events. Finally, factor analysis resulted in interpretable solutions. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,GENERAL & ACADEMIC SELF ESTEEM; DEPRESSION; ADVANCED TEACHER STUDENTS; ATTRIBUTIONAL STYLE; POSITIVE & NEGATIVE EVENTS; ACADEMIC SELF CONCEPT; ATTRIBUTION; MAJOR DEPRESSION; SELF-ESTEEM; STUDENT TEACHERS
20,Attentional Mechanisms And Neuropsychological Syndromes,GARCIA-OGUETA MI,REVISTA DE NEUROLOGIA,,,,,2001,,,"Introduction. Both cognitive psychology and neuropsychology require an approach to the multidimensional `attention : development. Attention permits behaviour to be suitable to the task in hand. According to the situation or activity required the components or mechanisms of attention necessary vary (selectivity, alertness, vigilance,focus, inhibitory control mechanisms, etc.) As do the different neural networks involved. In the different neuropsychological syndromes different components and attention mechanisms are affected. For instance, in attention deficit disorder there is inability to take notice of control of carrying out inappropriate responses, whilst in visual heminegligence there may be a defect of a mechanism such as disconnection of attention selective to a given space. To obtain coherent results in the study of attention disorders in various syndromes, the different components and attention mechanisms should be systematically evaluated using specific tests. In neuropsychology frequently the rests used only measured the aspects most closely connected to speed of perception and visual selective attention, without evaluating other components. Sometimes study data measuring different aspects of attention have been compared and therefore the conclusions drawn regarding possible attention disorders were controversial. The lack of standardised data and the difficulty of establishing `pure' tests of attention mechanisms make the task more arduous. Conclusion. Only the integration of experimental studies of cognitive psychology and the techniques and procedures of neuropsychology permit clarification of the construction and the advance of explanatory models.",,,ATTENTIONAL ASSESSMENT; ATTENTIONAL MECHANISMS; COMPONENTS OF ATTENTION;; NETWORKS OF ATTENTION; NEUROPSYCHOLOGICAL SYNDROMES
21,"Attributional Style, Depressive Features, And Self-Esteem: Adult Children Of Alcoholic And Nonalcoholic Parents",BUSH SI;BALLARD ME;FREMOUW W,JOURNAL OF YOUTH AND ADOLESCENCE,,,,,1995,,,"57 18–24 yr old adult children of alcoholics (acoas) and 100 children of nonalcoholic parents (conas) completed the beck depression inventory (bdi), index of self-esteem, and attributional style questionnaire. Acoa status was assessed by the children of alcoholics screening test. Acoas scored higher on the bdi and showed lower self-esteem than conas. Acoas more often showed a depressive attributional style, in that they perceived failure as more internal, stable, and global, compared with conas. Women had higher bdi scores than did men. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,ATTRIBUTIONAL STYLE & DEPRESSION & SELF ESTEEM; 18–24 YR OLD MALE VS FEMALE CHILDREN OF ALCOHOLICS VS NONALCOHOLICS; ADULT OFFSPRING; ALCOHOLISM; ATTRIBUTION; DEPRESSION (EMOTION); SELF-ESTEEM; CHILDREN OF ALCOHOLICS; HUMAN SEX DIFFERENCES
22,Personality Correlates Of Attributional Style,MITCHELL JV,THE JOURNAL OF PSYCHOLOGY: INTERDISCIPLINARY AND APPLIED,,,,,1989,,,"Examined the interrelationships between the variables of the attribution style questionnaire (asq) and the comrey personality scales (cps). The asq and cps were administered to 329 university students. Results show that a variety of personality variables had statistically significant relationships with attributional style. These variables showed significant positive relationships with internal, stable, and global attributions for positive events and significant negative relationships with these same attributions for negative events. An activity-extraversion-stability factor demonstrated the strongest relationships with attributional style. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,PERSONALITY VARIABLES; INTERNAL & STABLE & GLOBAL ATTRIBUTIONS FOR POSITIVE VS NEGATIVE EVENTS; COLLEGE STUDENTS; ADULT; DEPRESSION; FEMALE; HELPLESSNESS; LEARNED; HUMANS; INTERNAL-EXTERNAL CONTROL; MALE; PERSONALITY TESTS; ATTRIBUTION; EXPERIENCES (EVENTS); PERSONALITY CORRELATES
